GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72,HD02_VD72,HD01_VD73,HD02_VD73,HD01_VD74,HD02_VD74,HD01_VD75,HD02_VD75,HD01_VD76,HD02_VD76,HD01_VD77,HD02_VD77,HD01_VD78,HD02_VD78,HD01_VD79,HD02_VD79,HD01_VD80,HD02_VD80,HD01_VD81,HD02_VD81,HD01_VD82,HD02_VD82,HD01_VD83,HD02_VD83,HD01_VD84,HD02_VD84,HD01_VD85,HD02_VD85,HD01_VD86,HD02_VD86,HD01_VD87,HD02_VD87,HD01_VD88,HD02_VD88,HD01_VD89,HD02_VD89,HD01_VD90,HD02_VD90,HD01_VD91,HD02_VD91,HD01_VD92,HD02_VD92,HD01_VD93,HD02_VD93,HD01_VD94,HD02_VD94,HD01_VD95,HD02_VD95,HD01_VD96,HD02_VD96,HD01_VD97,HD02_VD97,HD01_VD98,HD02_VD98,HD01_VD99,HD02_VD99,HD01_VD100,HD02_VD100,HD01_VD101,HD02_VD101,HD01_VD102,HD02_VD102,HD01_VD103,HD02_VD103,HD01_VD104,HD02_VD104,HD01_VD105,HD02_VD105,HD01_VD106,HD02_VD106,HD01_VD107,HD02_VD107,HD01_VD108,HD02_VD108,HD01_VD109,HD02_VD109,HD01_VD110,HD02_VD110,HD01_VD111,HD02_VD111,HD01_VD112,HD02_VD112,HD01_VD113,HD02_VD113,HD01_VD114,HD02_VD114,HD01_VD115,HD02_VD115,HD01_VD116,HD02_VD116,HD01_VD117,HD02_VD117,HD01_VD118,HD02_VD118,HD01_VD119,HD02_VD119
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Speak only English,Margin of Error; Total: - Speak only English,Estimate; Total: - Spanish or Spanish Creole:,Margin of Error; Total: - Spanish or Spanish Creole:,"Estimate; Total: - Spanish or Spanish Creole: - Speak English ""very well""","Margin of Error; Total: - Spanish or Spanish Creole: - Speak English ""very well""","Estimate; Total: - Spanish or Spanish Creole: - Speak English less than ""very well""","Margin of Error; Total: - Spanish or Spanish Creole: - Speak English less than ""very well""","Estimate; Total: - French (incl. Patois, Cajun):","Margin of Error; Total: - French (incl. Patois, Cajun):","Estimate; Total: - French (incl. Patois, Cajun): - Speak English ""very well""","Margin of Error; Total: - French (incl. Patois, Cajun): - Speak English ""very well""","Estimate; Total: - French (incl. Patois, Cajun): - Speak English less than ""very well""","Margin of Error; Total: - French (incl. Patois, Cajun): - Speak English less than ""very well""",Estimate; Total: - French Creole:,Margin of Error; Total: - French Creole:,"Estimate; Total: - French Creole: - Speak English ""very well""","Margin of Error; Total: - French Creole: - Speak English ""very well""","Estimate; Total: - French Creole: - Speak English less than ""very well""","Margin of Error; Total: - French Creole: - Speak English less than ""very well""",Estimate; Total: - Italian:,Margin of Error; Total: - Italian:,"Estimate; Total: - Italian: - Speak English ""very well""","Margin of Error; Total: - Italian: - Speak English ""very well""","Estimate; Total: - Italian: - Speak English less than ""very well""","Margin of Error; Total: - Italian: - Speak English less than ""very well""",Estimate; Total: - Portuguese or Portuguese Creole:,Margin of Error; Total: - Portuguese or Portuguese Creole:,"Estimate; Total: - Portuguese or Portuguese Creole: - Speak English ""very well""","Margin of Error; Total: - Portuguese or Portuguese Creole: - Speak English ""very well""","Estimate; Total: - Portuguese or Portuguese Creole: - Speak English less than ""very well""","Margin of Error; Total: - Portuguese or Portuguese Creole: - Speak English less than ""very well""",Estimate; Total: - German:,Margin of Error; Total: - German:,"Estimate; Total: - German: - Speak English ""very well""","Margin of Error; Total: - German: - Speak English ""very well""","Estimate; Total: - German: - Speak English less than ""very well""","Margin of Error; Total: - German: - Speak English less than ""very well""",Estimate; Total: - Yiddish:,Margin of Error; Total: - Yiddish:,"Estimate; Total: - Yiddish: - Speak English ""very well""","Margin of Error; Total: - Yiddish: - Speak English ""very well""","Estimate; Total: - Yiddish: - Speak English less than ""very well""","Margin of Error; Total: - Yiddish: - Speak English less than ""very well""",Estimate; Total: - Other West Germanic languages:,Margin of Error; Total: - Other West Germanic languages:,"Estimate; Total: - Other West Germanic languages: - Speak English ""very well""","Margin of Error; Total: - Other West Germanic languages: - Speak English ""very well""","Estimate; Total: - Other West Germanic languages: - Speak English less than ""very well""","Margin of Error; Total: - Other West Germanic languages: - Speak English less than ""very well""",Estimate; Total: - Scandinavian languages:,Margin of Error; Total: - Scandinavian languages:,"Estimate; Total: - Scandinavian languages: - Speak English ""very well""","Margin of Error; Total: - Scandinavian languages: - Speak English ""very well""","Estimate; Total: - Scandinavian languages: - Speak English less than ""very well""","Margin of Error; Total: - Scandinavian languages: - Speak English less than ""very well""",Estimate; Total: - Greek:,Margin of Error; Total: - Greek:,"Estimate; Total: - Greek: - Speak English ""very well""","Margin of Error; Total: - Greek: - Speak English ""very well""","Estimate; Total: - Greek: - Speak English less than ""very well""","Margin of Error; Total: - Greek: - Speak English less than ""very well""",Estimate; Total: - Russian:,Margin of Error; Total: - Russian:,"Estimate; Total: - Russian: - Speak English ""very well""","Margin of Error; Total: - Russian: - Speak English ""very well""","Estimate; Total: - Russian: - Speak English less than ""very well""","Margin of Error; Total: - Russian: - Speak English less than ""very well""",Estimate; Total: - Polish:,Margin of Error; Total: - Polish:,"Estimate; Total: - Polish: - Speak English ""very well""","Margin of Error; Total: - Polish: - Speak English ""very well""","Estimate; Total: - Polish: - Speak English less than ""very well""","Margin of Error; Total: - Polish: - Speak English less than ""very well""",Estimate; Total: - Serbo-Croatian:,Margin of Error; Total: - Serbo-Croatian:,"Estimate; Total: - Serbo-Croatian: - Speak English ""very well""","Margin of Error; Total: - Serbo-Croatian: - Speak English ""very well""","Estimate; Total: - Serbo-Croatian: - Speak English less than ""very well""","Margin of Error; Total: - Serbo-Croatian: - Speak English less than ""very well""",Estimate; Total: - Other Slavic languages:,Margin of Error; Total: - Other Slavic languages:,"Estimate; Total: - Other Slavic languages: - Speak English ""very well""","Margin of Error; Total: - Other Slavic languages: - Speak English ""very well""","Estimate; Total: - Other Slavic languages: - Speak English less than ""very well""","Margin of Error; Total: - Other Slavic languages: - Speak English less than ""very well""",Estimate; Total: - Armenian:,Margin of Error; Total: - Armenian:,"Estimate; Total: - Armenian: - Speak English ""very well""","Margin of Error; Total: - Armenian: - Speak English ""very well""","Estimate; Total: - Armenian: - Speak English less than ""very well""","Margin of Error; Total: - Armenian: - Speak English less than ""very well""",Estimate; Total: - Persian:,Margin of Error; Total: - Persian:,"Estimate; Total: - Persian: - Speak English ""very well""","Margin of Error; Total: - Persian: - Speak English ""very well""","Estimate; Total: - Persian: - Speak English less than ""very well""","Margin of Error; Total: - Persian: - Speak English less than ""very well""",Estimate; Total: - Gujarati:,Margin of Error; Total: - Gujarati:,"Estimate; Total: - Gujarati: - Speak English ""very well""","Margin of Error; Total: - Gujarati: - Speak English ""very well""","Estimate; Total: - Gujarati: - Speak English less than ""very well""","Margin of Error; Total: - Gujarati: - Speak English less than ""very well""",Estimate; Total: - Hindi:,Margin of Error; Total: - Hindi:,"Estimate; Total: - Hindi: - Speak English ""very well""","Margin of Error; Total: - Hindi: - Speak English ""very well""","Estimate; Total: - Hindi: - Speak English less than ""very well""","Margin of Error; Total: - Hindi: - Speak English less than ""very well""",Estimate; Total: - Urdu:,Margin of Error; Total: - Urdu:,"Estimate; Total: - Urdu: - Speak English ""very well""","Margin of Error; Total: - Urdu: - Speak English ""very well""","Estimate; Total: - Urdu: - Speak English less than ""very well""","Margin of Error; Total: - Urdu: - Speak English less than ""very well""",Estimate; Total: - Other Indic languages:,Margin of Error; Total: - Other Indic languages:,"Estimate; Total: - Other Indic languages: - Speak English ""very well""","Margin of Error; Total: - Other Indic languages: - Speak English ""very well""","Estimate; Total: - Other Indic languages: - Speak English less than ""very well""","Margin of Error; Total: - Other Indic languages: - Speak English less than ""very well""",Estimate; Total: - Other Indo-European languages:,Margin of Error; Total: - Other Indo-European languages:,"Estimate; Total: - Other Indo-European languages: - Speak English ""very well""","Margin of Error; Total: - Other Indo-European languages: - Speak English ""very well""","Estimate; Total: - Other Indo-European languages: - Speak English less than ""very well""","Margin of Error; Total: - Other Indo-European languages: - Speak English less than ""very well""",Estimate; Total: - Chinese:,Margin of Error; Total: - Chinese:,"Estimate; Total: - Chinese: - Speak English ""very well""","Margin of Error; Total: - Chinese: - Speak English ""very well""","Estimate; Total: - Chinese: - Speak English less than ""very well""","Margin of Error; Total: - Chinese: - Speak English less than ""very well""",Estimate; Total: - Japanese:,Margin of Error; Total: - Japanese:,"Estimate; Total: - Japanese: - Speak English ""very well""","Margin of Error; Total: - Japanese: - Speak English ""very well""","Estimate; Total: - Japanese: - Speak English less than ""very well""","Margin of Error; Total: - Japanese: - Speak English less than ""very well""",Estimate; Total: - Korean:,Margin of Error; Total: - Korean:,"Estimate; Total: - Korean: - Speak English ""very well""","Margin of Error; Total: - Korean: - Speak English ""very well""","Estimate; Total: - Korean: - Speak English less than ""very well""","Margin of Error; Total: - Korean: - Speak English less than ""very well""","Estimate; Total: - Mon-Khmer, Cambodian:","Margin of Error; Total: - Mon-Khmer, Cambodian:","Estimate; Total: - Mon-Khmer, Cambodian: - Speak English ""very well""","Margin of Error; Total: - Mon-Khmer, Cambodian: - Speak English ""very well""","Estimate; Total: - Mon-Khmer, Cambodian: - Speak English less than ""very well""","Margin of Error; Total: - Mon-Khmer, Cambodian: - Speak English less than ""very well""",Estimate; Total: - Hmong:,Margin of Error; Total: - Hmong:,"Estimate; Total: - Hmong: - Speak English ""very well""","Margin of Error; Total: - Hmong: - Speak English ""very well""","Estimate; Total: - Hmong: - Speak English less than ""very well""","Margin of Error; Total: - Hmong: - Speak English less than ""very well""",Estimate; Total: - Thai:,Margin of Error; Total: - Thai:,"Estimate; Total: - Thai: - Speak English ""very well""","Margin of Error; Total: - Thai: - Speak English ""very well""","Estimate; Total: - Thai: - Speak English less than ""very well""","Margin of Error; Total: - Thai: - Speak English less than ""very well""",Estimate; Total: - Laotian:,Margin of Error; Total: - Laotian:,"Estimate; Total: - Laotian: - Speak English ""very well""","Margin of Error; Total: - Laotian: - Speak English ""very well""","Estimate; Total: - Laotian: - Speak English less than ""very well""","Margin of Error; Total: - Laotian: - Speak English less than ""very well""",Estimate; Total: - Vietnamese:,Margin of Error; Total: - Vietnamese:,"Estimate; Total: - Vietnamese: - Speak English ""very well""","Margin of Error; Total: - Vietnamese: - Speak English ""very well""","Estimate; Total: - Vietnamese: - Speak English less than ""very well""","Margin of Error; Total: - Vietnamese: - Speak English less than ""very well""",Estimate; Total: - Other Asian languages:,Margin of Error; Total: - Other Asian languages:,"Estimate; Total: - Other Asian languages: - Speak English ""very well""","Margin of Error; Total: - Other Asian languages: - Speak English ""very well""","Estimate; Total: - Other Asian languages: - Speak English less than ""very well""","Margin of Error; Total: - Other Asian languages: - Speak English less than ""very well""",Estimate; Total: - Tagalog:,Margin of Error; Total: - Tagalog:,"Estimate; Total: - Tagalog: - Speak English ""very well""","Margin of Error; Total: - Tagalog: - Speak English ""very well""","Estimate; Total: - Tagalog: - Speak English less than ""very well""","Margin of Error; Total: - Tagalog: - Speak English less than ""very well""",Estimate; Total: - Other Pacific Island languages:,Margin of Error; Total: - Other Pacific Island languages:,"Estimate; Total: - Other Pacific Island languages: - Speak English ""very well""","Margin of Error; Total: - Other Pacific Island languages: - Speak English ""very well""","Estimate; Total: - Other Pacific Island languages: - Speak English less than ""very well""","Margin of Error; Total: - Other Pacific Island languages: - Speak English less than ""very well""",Estimate; Total: - Navajo:,Margin of Error; Total: - Navajo:,"Estimate; Total: - Navajo: - Speak English ""very well""","Margin of Error; Total: - Navajo: - Speak English ""very well""","Estimate; Total: - Navajo: - Speak English less than ""very well""","Margin of Error; Total: - Navajo: - Speak English less than ""very well""",Estimate; Total: - Other Native North American languages:,Margin of Error; Total: - Other Native North American languages:,"Estimate; Total: - Other Native North American languages: - Speak English ""very well""","Margin of Error; Total: - Other Native North American languages: - Speak English ""very well""","Estimate; Total: - Other Native North American languages: - Speak English less than ""very well""","Margin of Error; Total: - Other Native North American languages: - Speak English less than ""very well""",Estimate; Total: - Hungarian:,Margin of Error; Total: - Hungarian:,"Estimate; Total: - Hungarian: - Speak English ""very well""","Margin of Error; Total: - Hungarian: - Speak English ""very well""","Estimate; Total: - Hungarian: - Speak English less than ""very well""","Margin of Error; Total: - Hungarian: - Speak English less than ""very well""",Estimate; Total: - Arabic:,Margin of Error; Total: - Arabic:,"Estimate; Total: - Arabic: - Speak English ""very well""","Margin of Error; Total: - Arabic: - Speak English ""very well""","Estimate; Total: - Arabic: - Speak English less than ""very well""","Margin of Error; Total: - Arabic: - Speak English less than ""very well""",Estimate; Total: - Hebrew:,Margin of Error; Total: - Hebrew:,"Estimate; Total: - Hebrew: - Speak English ""very well""","Margin of Error; Total: - Hebrew: - Speak English ""very well""","Estimate; Total: - Hebrew: - Speak English less than ""very well""","Margin of Error; Total: - Hebrew: - Speak English less than ""very well""",Estimate; Total: - African languages:,Margin of Error; Total: - African languages:,"Estimate; Total: - African languages: - Speak English ""very well""","Margin of Error; Total: - African languages: - Speak English ""very well""","Estimate; Total: - African languages: - Speak English less than ""very well""","Margin of Error; Total: - African languages: - Speak English less than ""very well""",Estimate; Total: - Other and unspecified languages:,Margin of Error; Total: - Other and unspecified languages:,"Estimate; Total: - Other and unspecified languages: - Speak English ""very well""","Margin of Error; Total: - Other and unspecified languages: - Speak English ""very well""","Estimate; Total: - Other and unspecified languages: - Speak English less than ""very well""","Margin of Error; Total: - Other and unspecified languages: - Speak English less than ""very well"""
8600000US06390,06390,ZCTA5 06390,339,146,308,144,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,15,23,15,23,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,16,23,16,23,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US10001,10001,ZCTA5 10001,22975,2414,13676,993,2398,773,1757,525,641,301,543,225,510,219,33,32,0,21,0,21,0,21,188,126,188,126,0,21,157,90,131,83,26,29,139,86,115,78,24,22,8,12,8,12,0,21,32,47,32,47,0,21,81,75,67,73,14,18,79,56,65,44,14,23,170,81,112,63,58,40,50,48,35,45,15,14,45,72,45,72,0,21,7,13,7,13,0,21,0,21,0,21,0,21,49,54,49,54,0,21,18,21,10,16,8,13,256,123,242,119,14,19,4,8,4,8,0,21,118,126,101,101,17,26,17,37,17,37,0,21,1772,643,795,250,977,499,202,85,82,50,120,63,765,255,428,137,337,236,19,23,19,23,0,21,0,21,0,21,0,21,55,64,26,24,29,47,0,21,0,21,0,21,40,39,40,39,0,21,64,66,64,66,0,21,59,49,23,21,36,44,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,8,12,8,12,0,21,172,146,172,146,0,21,191,149,191,149,0,21,1572,2256,1414,2019,158,237,21,25,21,25,0,21
8600000US10002,10002,ZCTA5 10002,77657,2365,28311,2403,16666,1533,10832,1330,5834,694,765,338,641,247,124,129,32,30,23,24,9,15,108,58,84,50,24,29,23,29,7,10,16,26,134,90,131,89,3,6,119,84,96,78,23,25,24,38,24,38,0,27,78,113,78,113,0,27,57,38,43,39,14,24,472,208,265,138,207,128,114,78,68,56,46,42,42,56,38,56,4,8,95,110,95,110,0,27,32,53,32,53,0,27,0,27,0,27,0,27,31,52,31,52,0,27,43,48,25,30,18,23,115,184,55,87,60,97,615,410,327,234,288,211,0,27,0,27,0,27,28341,1720,6505,829,21836,1394,338,188,208,164,130,85,197,151,96,87,101,103,25,30,0,27,25,30,0,27,0,27,0,27,12,14,8,12,4,7,0,27,0,27,0,27,160,134,34,36,126,132,71,77,71,77,0,27,173,106,98,69,75,65,39,51,39,51,0,27,5,12,5,12,0,27,0,27,0,27,0,27,28,25,17,18,11,17,144,79,104,73,40,36,102,65,90,59,12,18,146,179,135,177,11,19,0,27,0,27,0,27
8600000US10003,10003,ZCTA5 10003,55567,1571,42457,1512,3203,516,2780,426,423,232,1269,311,1136,294,133,109,13,20,13,20,0,27,385,230,367,227,18,27,367,213,298,175,69,78,292,157,247,153,45,43,59,57,10,16,49,55,83,91,83,91,0,27,170,140,157,136,13,26,121,95,115,95,6,11,272,139,254,136,18,29,68,52,55,45,13,26,80,86,39,43,41,49,136,104,111,93,25,40,0,27,0,27,0,27,66,51,56,43,10,15,47,48,47,48,0,27,250,145,230,142,20,30,147,84,147,84,0,27,161,154,140,142,21,35,462,347,340,236,122,118,2672,533,1577,351,1095,343,618,305,326,208,292,194,1048,400,912,392,136,66,11,18,11,18,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,58,48,58,48,0,27,160,97,154,97,6,11,130,130,114,125,16,23,56,52,48,49,8,16,0,27,0,27,0,27,7,15,7,15,0,27,63,60,63,60,0,27,116,75,67,54,49,57,427,130,360,125,67,54,93,85,93,85,0,27,0,27,0,27,0,27
8600000US10004,10004,ZCTA5 10004,3095,544,2504,536,56,42,56,42,0,11,4,8,4,8,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,20,25,20,25,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,5,6,5,6,0,11,0,11,0,11,0,11,0,11,0,11,0,11,16,25,16,25,0,11,0,11,0,11,0,11,0,11,0,11,0,11,84,135,84,135,0,11,23,24,23,24,0,11,10,19,10,19,0,11,46,74,46,74,0,11,0,11,0,11,0,11,165,150,116,85,49,73,16,32,16,32,0,11,77,78,47,63,30,48,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,8,12,8,12,0,11,37,57,37,57,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,2,4,2,4,0,11,0,11,0,11,0,11,18,19,18,19,0,11,4,7,4,7,0,11,0,11,0,11,0,11
8600000US10005,10005,ZCTA5 10005,7832,797,6050,679,322,168,237,132,85,100,18,31,18,31,0,16,0,16,0,16,0,16,29,38,14,14,15,40,19,35,19,35,0,16,38,44,38,44,0,16,0,16,0,16,0,16,0,16,0,16,0,16,173,228,173,228,0,16,39,47,39,47,0,16,80,118,80,118,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,83,81,83,81,0,16,0,16,0,16,0,16,63,68,63,68,0,16,21,32,21,32,0,16,283,146,254,145,29,22,149,163,49,54,100,112,257,154,205,150,52,48,0,16,0,16,0,16,0,16,0,16,0,16,23,38,23,38,0,16,0,16,0,16,0,16,0,16,0,16,0,16,54,61,54,61,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,100,100,100,100,0,16,31,37,31,37,0,16,0,16,0,16,0,16,0,16,0,16,0,16
8600000US10006,10006,ZCTA5 10006,2843,375,2126,384,149,128,149,128,0,11,46,48,46,48,0,11,0,11,0,11,0,11,28,45,0,11,28,45,10,16,10,16,0,11,68,74,68,74,0,11,0,11,0,11,0,11,8,12,8,12,0,11,0,11,0,11,0,11,4,21,4,21,0,11,18,30,18,30,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,120,160,120,160,0,11,0,11,0,11,0,11,24,38,24,38,0,11,16,26,16,26,0,11,55,53,55,53,0,11,42,56,0,11,42,56,25,28,25,28,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,32,51,32,51,0,11,0,11,0,11,0,11,29,50,13,22,16,29,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,29,46,15,24,14,22,14,21,14,21,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US10007,10007,ZCTA5 10007,6534,506,4889,500,469,100,265,100,204,58,194,112,178,102,16,25,0,16,0,16,0,16,52,60,52,60,0,16,53,64,20,30,33,38,0,16,0,16,0,16,14,25,14,25,0,16,0,16,0,16,0,16,48,56,32,51,16,24,8,13,8,13,0,16,89,85,72,65,17,28,3,6,3,6,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,16,24,16,24,0,16,13,22,13,22,0,16,29,46,29,46,0,16,12,22,0,16,12,22,13,24,13,24,0,16,18,29,18,29,0,16,294,144,206,118,88,82,101,76,84,70,17,28,114,102,93,93,21,26,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,16,25,16,25,0,16,19,31,19,31,0,16,44,40,44,40,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,26,31,12,20,14,24,0,16,0,16,0,16,0,16,0,16,0,16
8600000US10009,10009,ZCTA5 10009,59374,1890,35041,1750,12922,1295,7758,977,5164,704,955,322,889,315,66,50,32,48,30,48,2,4,203,147,203,147,0,27,221,157,151,126,70,80,481,269,421,220,60,81,0,27,0,27,0,27,96,84,96,84,0,27,76,65,47,44,29,47,107,87,107,87,0,27,608,540,434,519,174,122,810,401,531,335,279,162,24,40,24,40,0,27,301,198,181,156,120,97,0,27,0,27,0,27,0,27,0,27,0,27,23,28,23,28,0,27,339,287,334,287,5,10,194,243,91,102,103,144,254,260,70,75,184,246,91,72,43,45,48,76,4457,642,1450,408,3007,489,361,169,264,143,97,93,667,353,457,278,210,165,13,25,13,25,0,27,0,27,0,27,0,27,33,38,33,38,0,27,0,27,0,27,0,27,32,40,23,36,9,17,94,57,73,57,21,25,434,288,286,258,148,137,208,193,101,119,107,90,0,27,0,27,0,27,0,27,0,27,0,27,43,52,43,52,0,27,128,111,76,76,52,81,94,64,94,64,0,27,32,38,26,32,6,11,0,27,0,27,0,27
