GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - U.S. citizen, born in the United States","Margin of Error; Total: - U.S. citizen, born in the United States","Estimate; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate; Total: - U.S. citizen, born abroad of American parent(s)","Margin of Error; Total: - U.S. citizen, born abroad of American parent(s)",Estimate; Total: - U.S. citizen by naturalization,Margin of Error; Total: - U.S. citizen by naturalization,Estimate; Total: - Not a U.S. citizen,Margin of Error; Total: - Not a U.S. citizen
8600000US06390,06390,ZCTA5 06390,230,139,224,136,0,11,2,3,0,11,4,8
8600000US07421,07421,ZCTA5 07421,7351,509,6876,510,0,17,25,24,335,107,115,102
8600000US10001,10001,ZCTA5 10001,23947,1738,15945,1598,434,180,365,129,3389,686,3814,519
8600000US10002,10002,ZCTA5 10002,77925,2031,39703,1700,4222,681,1103,312,19532,1133,13365,1428
8600000US10003,10003,ZCTA5 10003,55035,1789,43076,1569,447,267,961,289,3578,563,6973,812
8600000US10004,10004,ZCTA5 10004,2990,532,2079,433,15,21,42,38,287,109,567,221
8600000US10005,10005,ZCTA5 10005,8680,922,6339,877,6,8,268,159,746,234,1321,435
8600000US10006,10006,ZCTA5 10006,3579,483,2463,380,51,56,74,88,481,210,510,160
8600000US10007,10007,ZCTA5 10007,7036,784,5098,620,45,54,82,52,652,221,1159,300
8600000US10009,10009,ZCTA5 10009,60141,1585,41990,1760,3383,568,1131,390,7381,925,6256,839
8600000US10010,10010,ZCTA5 10010,33119,2073,25117,1915,436,343,804,664,3133,681,3629,646
8600000US10011,10011,ZCTA5 10011,50711,1638,37953,1591,673,318,649,176,5847,777,5589,785
8600000US10012,10012,ZCTA5 10012,24527,1202,17343,1116,126,84,341,154,2907,512,3810,575
8600000US10013,10013,ZCTA5 10013,29619,1407,18907,1194,84,60,530,193,5772,745,4326,804
8600000US10014,10014,ZCTA5 10014,31794,1288,25646,1200,72,99,501,145,1964,360,3611,684
8600000US10016,10016,ZCTA5 10016,51448,1933,36858,1745,603,323,724,363,6998,1124,6265,964
8600000US10017,10017,ZCTA5 10017,16388,1296,11047,1157,8,14,397,197,2682,466,2254,695
8600000US10018,10018,ZCTA5 10018,9719,516,5189,415,56,70,186,109,1603,291,2685,493
8600000US10019,10019,ZCTA5 10019,41592,1692,27580,1448,768,259,468,210,6120,787,6656,829
8600000US10020,10020,ZCTA5 10020,0,11,0,11,0,11,0,11,0,11,0,11
8600000US10021,10021,ZCTA5 10021,44983,2602,34622,1954,203,144,559,259,5227,1001,4372,1392
8600000US10022,10022,ZCTA5 10022,30807,1366,24698,1314,109,84,292,168,3519,490,2189,434
8600000US10023,10023,ZCTA5 10023,61514,2299,45136,1737,1073,500,1183,437,6639,921,7483,1219
8600000US10024,10024,ZCTA5 10024,58512,2109,46505,2015,425,179,1004,287,5481,754,5097,867
8600000US10025,10025,ZCTA5 10025,94382,2987,64073,2579,2483,559,1980,465,13588,1142,12258,1495
8600000US10026,10026,ZCTA5 10026,40105,1727,28980,1629,901,295,475,184,4916,520,4833,675
8600000US10027,10027,ZCTA5 10027,65365,1957,45654,1860,1322,343,929,282,7178,712,10282,1064
8600000US10028,10028,ZCTA5 10028,50091,2282,39298,2389,101,124,1184,457,4711,672,4797,844
8600000US10029,10029,ZCTA5 10029,80866,2559,54687,2286,5723,680,854,282,9075,720,10527,1287
8600000US10030,10030,ZCTA5 10030,30163,1892,22756,1552,483,210,229,109,3271,544,3424,702
8600000US10031,10031,ZCTA5 10031,62382,2096,36111,1895,981,323,909,315,11695,937,12686,1396
8600000US10032,10032,ZCTA5 10032,63185,2680,31287,1825,1529,378,1655,555,14124,1117,14590,1699
8600000US10033,10033,ZCTA5 10033,60810,2267,30050,1823,1018,290,770,232,14404,1038,14568,1724
8600000US10034,10034,ZCTA5 10034,44186,1677,21880,1235,1341,436,449,199,10382,794,10134,1243
8600000US10035,10035,ZCTA5 10035,35366,1460,23936,1399,1989,381,205,134,3359,469,5877,807
8600000US10036,10036,ZCTA5 10036,26868,1360,16839,1191,785,207,155,77,3189,475,5900,947
8600000US10037,10037,ZCTA5 10037,21184,1191,16823,1185,273,130,330,190,1859,404,1899,446
8600000US10038,10038,ZCTA5 10038,22457,1214,14038,1167,390,177,349,202,4536,564,3144,599
8600000US10039,10039,ZCTA5 10039,27203,1213,20118,1077,320,154,425,188,3106,611,3234,607
8600000US10040,10040,ZCTA5 10040,46003,1796,22718,1499,1324,460,706,260,10780,887,10475,1327
8600000US10044,10044,ZCTA5 10044,11945,1032,5222,815,458,196,131,83,1389,355,4745,818
8600000US10065,10065,ZCTA5 10065,29565,1516,22481,1289,42,48,388,139,3127,517,3527,784
8600000US10069,10069,ZCTA5 10069,5195,912,3722,881,0,16,0,16,447,316,1026,445
8600000US10075,10075,ZCTA5 10075,22818,2499,16927,1989,25,31,447,351,2694,1035,2725,1362
8600000US10103,10103,ZCTA5 10103,0,11,0,11,0,11,0,11,0,11,0,11
8600000US10110,10110,ZCTA5 10110,0,11,0,11,0,11,0,11,0,11,0,11
8600000US10111,10111,ZCTA5 10111,0,11,0,11,0,11,0,11,0,11,0,11
8600000US10112,10112,ZCTA5 10112,0,11,0,11,0,11,0,11,0,11,0,11
8600000US10115,10115,ZCTA5 10115,0,11,0,11,0,11,0,11,0,11,0,11
8600000US10119,10119,ZCTA5 10119,0,11,0,11,0,11,0,11,0,11,0,11
8600000US10128,10128,ZCTA5 10128,62743,2376,46861,2323,596,217,764,323,7249,852,7273,1180
8600000US10152,10152,ZCTA5 10152,0,11,0,11,0,11,0,11,0,11,0,11
8600000US10153,10153,ZCTA5 10153,0,11,0,11,0,11,0,11,0,11,0,11
8600000US10154,10154,ZCTA5 10154,0,11,0,11,0,11,0,11,0,11,0,11
8600000US10162,10162,ZCTA5 10162,1324,522,1172,494,0,11,44,84,69,95,39,66
8600000US10165,10165,ZCTA5 10165,0,11,0,11,0,11,0,11,0,11,0,11
8600000US10167,10167,ZCTA5 10167,0,11,0,11,0,11,0,11,0,11,0,11
8600000US10168,10168,ZCTA5 10168,0,11,0,11,0,11,0,11,0,11,0,11
8600000US10169,10169,ZCTA5 10169,0,11,0,11,0,11,0,11,0,11,0,11
8600000US10170,10170,ZCTA5 10170,0,11,0,11,0,11,0,11,0,11,0,11
8600000US10171,10171,ZCTA5 10171,0,11,0,11,0,11,0,11,0,11,0,11
8600000US10172,10172,ZCTA5 10172,0,11,0,11,0,11,0,11,0,11,0,11
8600000US10173,10173,ZCTA5 10173,0,11,0,11,0,11,0,11,0,11,0,11
8600000US10174,10174,ZCTA5 10174,0,11,0,11,0,11,0,11,0,11,0,11
