GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
8600000US06390,06390,ZCTA5 06390,77,41,51,34,26,24
8600000US07421,07421,ZCTA5 07421,2651,195,2260,180,391,112
8600000US10001,10001,ZCTA5 10001,12347,509,3479,441,8868,475
8600000US10002,10002,ZCTA5 10002,33461,596,4510,346,28951,672
8600000US10003,10003,ZCTA5 10003,26699,683,8720,611,17979,759
8600000US10004,10004,ZCTA5 10004,1587,205,474,126,1113,187
8600000US10005,10005,ZCTA5 10005,4239,381,778,235,3461,341
8600000US10006,10006,ZCTA5 10006,1815,219,238,105,1577,218
8600000US10007,10007,ZCTA5 10007,2761,278,1087,177,1674,266
8600000US10009,10009,ZCTA5 10009,29725,518,2111,336,27614,587
8600000US10010,10010,ZCTA5 10010,15972,757,4602,672,11370,705
8600000US10011,10011,ZCTA5 10011,28753,760,10506,663,18247,807
8600000US10012,10012,ZCTA5 10012,12349,472,2201,308,10148,542
8600000US10013,10013,ZCTA5 10013,12207,485,3340,391,8867,412
8600000US10014,10014,ZCTA5 10014,18481,591,5941,477,12540,636
8600000US10016,10016,ZCTA5 10016,28681,970,8023,603,20658,1057
8600000US10017,10017,ZCTA5 10017,10076,582,4419,431,5657,546
8600000US10018,10018,ZCTA5 10018,4993,284,407,122,4586,299
8600000US10019,10019,ZCTA5 10019,24512,832,4673,540,19839,942
8600000US10020,10020,ZCTA5 10020,0,11,0,11,0,11
8600000US10021,10021,ZCTA5 10021,24912,1181,11003,1159,13909,1064
8600000US10022,10022,ZCTA5 10022,17873,834,9114,629,8759,616
8600000US10023,10023,ZCTA5 10023,33133,1067,13964,968,19169,1123
8600000US10024,10024,ZCTA5 10024,28418,790,11099,640,17319,818
8600000US10025,10025,ZCTA5 10025,42546,893,11870,820,30676,1017
8600000US10026,10026,ZCTA5 10026,15401,461,2845,333,12556,445
8600000US10027,10027,ZCTA5 10027,23607,606,3353,301,20254,599
8600000US10028,10028,ZCTA5 10028,26435,858,8957,589,17478,846
8600000US10029,10029,ZCTA5 10029,31496,688,1964,279,29532,709
8600000US10030,10030,ZCTA5 10030,12258,473,1374,248,10884,531
8600000US10031,10031,ZCTA5 10031,22274,479,2662,424,19612,532
8600000US10032,10032,ZCTA5 10032,20724,483,1574,282,19150,514
8600000US10033,10033,ZCTA5 10033,19586,460,2040,210,17546,476
8600000US10034,10034,ZCTA5 10034,16135,307,1423,204,14712,347
8600000US10035,10035,ZCTA5 10035,14172,418,1226,223,12946,455
8600000US10036,10036,ZCTA5 10036,15624,572,1566,306,14058,668
8600000US10037,10037,ZCTA5 10037,9735,429,652,186,9083,410
8600000US10038,10038,ZCTA5 10038,10133,384,2689,284,7444,462
8600000US10039,10039,ZCTA5 10039,11153,328,1434,228,9719,337
8600000US10040,10040,ZCTA5 10040,16222,350,1610,232,14612,360
8600000US10044,10044,ZCTA5 10044,4820,323,942,286,3878,380
8600000US10065,10065,ZCTA5 10065,15878,703,5674,414,10204,628
8600000US10069,10069,ZCTA5 10069,2574,424,695,209,1879,375
8600000US10075,10075,ZCTA5 10075,11373,952,4854,617,6519,813
8600000US10103,10103,ZCTA5 10103,0,11,0,11,0,11
8600000US10110,10110,ZCTA5 10110,0,11,0,11,0,11
8600000US10111,10111,ZCTA5 10111,0,11,0,11,0,11
