GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Under 19 years:,Margin of Error; Under 19 years:,Estimate; Under 19 years: - With one type of health insurance coverage:,Margin of Error; Under 19 years: - With one type of health insurance coverage:,Estimate; Under 19 years: - With one type of health insurance coverage: - With employer-based health insurance only,Margin of Error; Under 19 years: - With one type of health insurance coverage: - With employer-based health insurance only,Estimate; Under 19 years: - With one type of health insurance coverage: - With direct-purchase health insurance only,Margin of Error; Under 19 years: - With one type of health insurance coverage: - With direct-purchase health insurance only,Estimate; Under 19 years: - With one type of health insurance coverage: - With Medicare coverage only,Margin of Error; Under 19 years: - With one type of health insurance coverage: - With Medicare coverage only,Estimate; Under 19 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Margin of Error; Under 19 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Estimate; Under 19 years: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Margin of Error; Under 19 years: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Estimate; Under 19 years: - With one type of health insurance coverage: - With VA Health Care only,Margin of Error; Under 19 years: - With one type of health insurance coverage: - With VA Health Care only,Estimate; Under 19 years: - With two or more types of health insurance coverage:,Margin of Error; Under 19 years: - With two or more types of health insurance coverage:,Estimate; Under 19 years: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Margin of Error; Under 19 years: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Estimate; Under 19 years: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Margin of Error; Under 19 years: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Estimate; Under 19 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Margin of Error; Under 19 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Estimate; Under 19 years: - With two or more types of health insurance coverage: - Other private only combinations,Margin of Error; Under 19 years: - With two or more types of health insurance coverage: - Other private only combinations,Estimate; Under 19 years: - With two or more types of health insurance coverage: - Other public only combinations,Margin of Error; Under 19 years: - With two or more types of health insurance coverage: - Other public only combinations,Estimate; Under 19 years: - With two or more types of health insurance coverage: - Other coverage combinations,Margin of Error; Under 19 years: - With two or more types of health insurance coverage: - Other coverage combinations,Estimate; Under 19 years: - No health insurance coverage,Margin of Error; Under 19 years: - No health insurance coverage,Estimate; 19 to 34 years:,Margin of Error; 19 to 34 years:,Estimate; 19 to 34 years: - With one type of health insurance coverage:,Margin of Error; 19 to 34 years: - With one type of health insurance coverage:,Estimate; 19 to 34 years: - With one type of health insurance coverage: - With employer-based health insurance only,Margin of Error; 19 to 34 years: - With one type of health insurance coverage: - With employer-based health insurance only,Estimate; 19 to 34 years: - With one type of health insurance coverage: - With direct-purchase health insurance only,Margin of Error; 19 to 34 years: - With one type of health insurance coverage: - With direct-purchase health insurance only,Estimate; 19 to 34 years: - With one type of health insurance coverage: - With Medicare coverage only,Margin of Error; 19 to 34 years: - With one type of health insurance coverage: - With Medicare coverage only,Estimate; 19 to 34 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Margin of Error; 19 to 34 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Estimate; 19 to 34 years: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Margin of Error; 19 to 34 years: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Estimate; 19 to 34 years: - With one type of health insurance coverage: - With VA Health Care only,Margin of Error; 19 to 34 years: - With one type of health insurance coverage: - With VA Health Care only,Estimate; 19 to 34 years: - With two or more types of health insurance coverage:,Margin of Error; 19 to 34 years: - With two or more types of health insurance coverage:,Estimate; 19 to 34 years: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Margin of Error; 19 to 34 years: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Estimate; 19 to 34 years: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Margin of Error; 19 to 34 years: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Estimate; 19 to 34 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Margin of Error; 19 to 34 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Estimate; 19 to 34 years: - With two or more types of health insurance coverage: - Other private only combinations,Margin of Error; 19 to 34 years: - With two or more types of health insurance coverage: - Other private only combinations,Estimate; 19 to 34 years: - With two or more types of health insurance coverage: - Other public only combinations,Margin of Error; 19 to 34 years: - With two or more types of health insurance coverage: - Other public only combinations,Estimate; 19 to 34 years: - With two or more types of health insurance coverage: - Other coverage combinations,Margin of Error; 19 to 34 years: - With two or more types of health insurance coverage: - Other coverage combinations,Estimate; 19 to 34 years: - No health insurance coverage,Margin of Error; 19 to 34 years: - No health insurance coverage,Estimate; 35 to 64 years:,Margin of Error; 35 to 64 years:,Estimate; 35 to 64 years: - With one type of health insurance coverage:,Margin of Error; 35 to 64 years: - With one type of health insurance coverage:,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With employer-based health insurance only,Margin of Error; 35 to 64 years: - With one type of health insurance coverage: - With employer-based health insurance only,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With direct-purchase health insurance only,Margin of Error; 35 to 64 years: - With one type of health insurance coverage: - With direct-purchase health insurance only,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With Medicare coverage only,Margin of Error; 35 to 64 years: - With one type of health insurance coverage: - With Medicare coverage only,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Margin of Error; 35 to 64 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Margin of Error; 35 to 64 years: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With VA Health Care only,Margin of Error; 35 to 64 years: - With one type of health insurance coverage: - With VA Health Care only,Estimate; 35 to 64 years: - With two or more types of health insurance coverage:,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage:,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - With direct-purchase and Medicare coverage,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - With direct-purchase and Medicare coverage,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - Other private only combinations,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - Other private only combinations,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - Other public only combinations,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - Other public only combinations,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - Other coverage combinations,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - Other coverage combinations,Estimate; 35 to 64 years: - No health insurance coverage,Margin of Error; 35 to 64 years: - No health insurance coverage,Estimate; 65 years and over:,Margin of Error; 65 years and over:,Estimate; 65 years and over: - With one type of health insurance coverage:,Margin of Error; 65 years and over: - With one type of health insurance coverage:,Estimate; 65 years and over: - With one type of health insurance coverage: - With employer-based health insurance only,Margin of Error; 65 years and over: - With one type of health insurance coverage: - With employer-based health insurance only,Estimate; 65 years and over: - With one type of health insurance coverage: - With direct-purchase health insurance only,Margin of Error; 65 years and over: - With one type of health insurance coverage: - With direct-purchase health insurance only,Estimate; 65 years and over: - With one type of health insurance coverage: - With Medicare coverage only,Margin of Error; 65 years and over: - With one type of health insurance coverage: - With Medicare coverage only,Estimate; 65 years and over: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Margin of Error; 65 years and over: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Estimate; 65 years and over: - With one type of health insurance coverage: - With VA Health Care only,Margin of Error; 65 years and over: - With one type of health insurance coverage: - With VA Health Care only,Estimate; 65 years and over: - With two or more types of health insurance coverage:,Margin of Error; 65 years and over: - With two or more types of health insurance coverage:,Estimate; 65 years and over: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Margin of Error; 65 years and over: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Estimate; 65 years and over: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Margin of Error; 65 years and over: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Estimate; 65 years and over: - With two or more types of health insurance coverage: - With direct-purchase and Medicare coverage,Margin of Error; 65 years and over: - With two or more types of health insurance coverage: - With direct-purchase and Medicare coverage,Estimate; 65 years and over: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Margin of Error; 65 years and over: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Estimate; 65 years and over: - With two or more types of health insurance coverage: - Other private only combinations,Margin of Error; 65 years and over: - With two or more types of health insurance coverage: - Other private only combinations,Estimate; 65 years and over: - With two or more types of health insurance coverage: - Other public only combinations,Margin of Error; 65 years and over: - With two or more types of health insurance coverage: - Other public only combinations,Estimate; 65 years and over: - With two or more types of health insurance coverage: - Other coverage combinations,Margin of Error; 65 years and over: - With two or more types of health insurance coverage: - Other coverage combinations,Estimate; 65 years and over: - No health insurance coverage,Margin of Error; 65 years and over: - No health insurance coverage
8600000US06390,06390,ZCTA5 06390,230,139,47,48,47,48,44,48,0,11,0,11,3,8,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,9,9,5,6,5,6,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,4,8,121,77,93,60,87,60,2,3,3,4,1,3,0,11,0,11,4,5,2,3,0,11,0,11,2,3,0,11,0,11,0,11,24,31,53,37,4,4,2,3,0,11,2,3,0,11,0,11,49,37,0,11,26,26,7,8,0,11,0,11,0,11,16,23,0,11
8600000US07421,07421,ZCTA5 07421,7351,509,1613,231,1419,231,931,198,39,35,0,17,436,228,13,21,0,17,115,88,18,27,0,17,0,17,0,17,0,17,97,83,79,76,1401,277,1267,269,1015,252,45,36,0,17,192,122,15,23,0,17,12,19,0,17,0,17,0,17,0,17,0,17,12,19,122,58,3540,272,3062,242,2512,254,213,85,53,53,275,129,9,14,0,17,245,118,69,46,29,28,0,17,59,89,0,17,0,17,88,57,233,122,797,118,274,109,28,40,10,16,236,97,0,17,0,17,517,122,0,17,204,78,131,59,52,43,0,17,10,15,120,57,6,16
8600000US10001,10001,ZCTA5 10001,23947,1738,3029,1180,2961,1177,1354,312,446,157,830,1208,331,135,0,21,0,21,62,51,11,14,0,21,0,21,0,21,0,21,51,50,6,9,8761,670,8036,677,5862,657,1541,355,0,21,632,265,0,21,1,5,180,89,180,89,0,21,0,21,0,21,0,21,0,21,545,192,9206,716,7716,734,5442,624,1143,280,277,315,837,243,17,26,0,21,666,179,224,118,102,85,0,21,123,93,0,21,0,21,217,105,824,245,2951,371,915,260,146,101,0,21,769,255,0,21,0,21,2036,356,0,21,735,197,196,114,514,260,0,21,0,21,591,187,0,21
8600000US10002,10002,ZCTA5 10002,77682,2010,11283,963,10318,930,3183,568,691,242,45,44,6399,772,0,27,0,27,842,288,71,93,0,27,15,24,0,27,0,27,756,275,123,107,20309,1360,16951,1199,10153,880,1775,407,26,28,4960,677,37,51,0,27,1021,200,323,142,64,66,91,110,16,28,0,27,527,185,2337,525,30547,1291,24823,1384,11968,943,1977,474,331,151,10526,1090,0,27,21,34,2701,458,268,101,141,74,161,104,1082,352,0,27,25,25,1024,239,3023,663,15543,906,3726,590,282,134,0,27,3443,570,0,27,1,2,11779,806,0,27,871,192,445,121,9388,768,0,27,138,72,937,265,38,42
8600000US10003,10003,ZCTA5 10003,54902,1782,7635,822,6760,763,3259,464,3210,526,40,40,251,156,0,27,0,27,805,250,773,249,0,27,17,28,0,27,0,27,15,30,70,87,22334,1188,20016,1202,12958,1045,6195,617,19,30,704,300,0,27,140,163,1242,289,1084,266,0,27,37,50,5,7,0,27,116,94,1076,416,18571,1212,16759,1011,13091,908,2316,381,148,141,1108,320,88,74,8,17,570,207,249,140,55,55,16,25,104,77,0,27,14,19,132,107,1242,411,6362,560,2095,443,129,105,13,18,1953,457,0,27,0,27,4214,482,0,27,1679,320,917,258,457,240,0,27,76,88,1085,267,53,73
8600000US10004,10004,ZCTA5 10004,2990,532,418,222,382,210,330,207,48,39,0,11,4,6,0,11,0,11,14,22,0,11,0,11,0,11,0,11,0,11,14,22,22,35,1029,331,943,323,896,319,47,32,0,11,0,11,0,11,0,11,24,24,20,24,0,11,0,11,0,11,0,11,4,6,62,58,1345,264,1217,258,965,241,224,127,0,11,28,30,0,11,0,11,17,25,13,23,0,11,0,11,0,11,0,11,0,11,4,7,111,92,198,129,78,70,27,39,0,11,51,56,0,11,0,11,120,107,0,11,4,5,107,109,0,11,0,11,0,11,9,11,0,11
8600000US10005,10005,ZCTA5 10005,8676,921,935,338,855,328,836,329,19,16,0,16,0,16,0,16,0,16,30,48,0,16,0,16,0,16,0,16,0,16,30,48,50,75,4651,596,4296,585,3578,573,645,319,31,51,42,50,0,16,0,16,136,105,39,47,0,16,0,16,0,16,0,16,97,94,219,144,2911,577,2762,552,2359,575,279,150,0,16,124,78,0,16,0,16,44,50,15,16,0,16,0,16,0,16,0,16,0,16,29,47,105,101,179,99,48,71,0,16,0,16,48,71,0,16,0,16,130,121,0,16,54,71,76,121,0,16,0,16,0,16,0,16,1,3
8600000US10006,10006,ZCTA5 10006,3579,483,552,180,488,194,488,194,0,11,0,11,0,11,0,11,0,11,64,45,64,45,0,11,0,11,0,11,0,11,0,11,0,11,1903,391,1770,369,1562,346,198,117,0,11,10,17,0,11,0,11,73,65,62,62,0,11,0,11,0,11,0,11,11,17,60,46,1124,266,1003,257,854,231,134,92,0,11,15,24,0,11,0,11,105,84,105,84,0,11,0,11,0,11,0,11,0,11,0,11,16,27,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US10007,10007,ZCTA5 10007,6307,716,1422,271,1345,275,1129,236,205,195,0,16,11,19,0,16,0,16,65,74,0,16,0,16,0,16,0,16,0,16,65,74,12,20,1735,349,1620,336,1405,330,212,150,0,16,3,5,0,16,0,16,78,60,61,55,0,16,3,6,0,16,0,16,14,21,37,43,2778,405,2727,397,2249,338,321,167,0,16,157,121,0,16,0,16,48,54,21,34,0,16,0,16,0,16,0,16,0,16,27,41,3,5,372,137,193,107,31,33,0,16,162,103,0,16,0,16,179,98,0,16,56,48,30,34,42,43,0,16,0,16,51,49,0,16
